game_id,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,opp_id,opp_fran,elo_i,opp_elo_i,game_result
199912030DET,2000,12/3/1999,17,0,DET,Pistons,SAS,Spurs,1538.1149,1723.0023,W
199912030LAL,2000,12/3/1999,17,0,LAL,Lakers,POR,Trailblazers,1588.9417,1638.941,W
199912030TOR,2000,12/3/1999,16,0,TOR,Raptors,WAS,Wizards,1501.3264,1398.5487,W
199912030UTA,2000,12/3/1999,15,0,UTA,Jazz,IND,Pacers,1579.2971,1595.4841,L
199912030VAN,2000,12/3/1999,16,0,VAN,Grizzlies,CHH,Pelicans,1266.4851,1547.9332,L
199912040ATL,2000,12/4/1999,17,0,ATL,Hawks,DET,Pistons,1539.5009,1561.4015,W
199912040CHI,2000,12/4/1999,15,0,CHI,Bulls,MIL,Bucks,1319.7456,1519.7983,L
199912040GSW,2000,12/4/1999,16,0,GSW,Warriors,UTA,Jazz,1346.3124,1553.884,L
199912040HOU,2000,12/4/1999,18,0,HOU,Rockets,PHO,Suns,1481.845,1579.9376,W
199912040LAC,2000,12/4/1999,16,0,LAC,Clippers,SEA,Thunder,1333.0525,1520.1672,L
199912040MIN,2000,12/4/1999,14,0,MIN,Timberwolves,DAL,Mavericks,1477.9531,1431.6545,L
199912040NJN,2000,12/4/1999,17,0,NJN,Nets,NYK,Knicks,1381.8557,1580.0026,L
199912040PHI,2000,12/4/1999,19,0,PHI,Sixers,BOS,Celtics,1540.6257,1486.2203,W
199912040WAS,2000,12/4/1999,18,0,WAS,Wizards,SAC,Kings,1396.5752,1545.8003,L
199912050LAL,2000,12/5/1999,18,0,LAL,Lakers,ORL,Magic,1599.0393,1546.3546,W
199912050MIL,2000,12/5/1999,17,0,MIL,Bucks,DAL,Mavericks,1522.4918,1456.6807,W
199912050NYK,2000,12/5/1999,19,0,NYK,Knicks,DEN,Nuggets,1586.9766,1382.5452,L
199912050PHO,2000,12/5/1999,17,0,PHO,Suns,POR,Trailblazers,1569.6328,1628.8434,L
199912050SEA,2000,12/5/1999,18,0,SEA,Thunder,CHH,Pelicans,1528.8083,1555.1193,L
199912050TOR,2000,12/5/1999,17,0,TOR,Raptors,SAS,Spurs,1503.2999,1699.7157,W
199912060HOU,2000,12/6/1999,19,0,HOU,Rockets,VAN,Grizzlies,1492.1498,1259.2991,W
199912060LAC,2000,12/6/1999,17,0,LAC,Clippers,MIA,Heat,1324.4114,1599.1635,L
199912060NJN,2000,12/6/1999,18,0,NJN,Nets,SAC,Kings,1374.8817,1554.3794,W
199912060PHI,2000,12/6/1999,20,0,PHI,Sixers,DEN,Nuggets,1543.5253,1393.4329,L
199912060UTA,2000,12/6/1999,17,0,UTA,Jazz,WAS,Wizards,1561.3831,1387.9961,W
199912070DAL,2000,12/7/1999,20,0,DAL,Mavericks,VAN,Grizzlies,1452.885,1258.1661,L
199912070IND,2000,12/7/1999,18,0,IND,Pacers,SAS,Spurs,1620.8972,1689.0693,W
199912070LAL,2000,12/7/1999,19,0,LAL,Lakers,WAS,Wizards,1606.6989,1385.8174,W
199912070MIL,2000,12/7/1999,18,0,MIL,Bucks,DET,Pistons,1526.2875,1557.8591,L
199912070NYK,2000,12/7/1999,20,0,NYK,Knicks,GSW,Warriors,1576.0889,1338.8134,W
199912070PHO,2000,12/7/1999,18,0,PHO,Suns,ORL,Magic,1564.0542,1538.6951,W
199912070POR,2000,12/7/1999,20,0,POR,Trailblazers,MIA,Heat,1634.422,1603.4294,L
